17,112,146,4,0,0,
18,109,145,3,0,1,
19,88,154,3,3,2,
18,90,158,4,1,2,
20,81,152,4,3,0,
18,92,144,4,0,4,
17,115,138,3,8,0,
17,109,143,3,2,0,
20,103,146,3,2,0,
17,100,156,2,4,0,
18,90,153,3,8,1,
19,82,184,4,0,3,
19,88,156,3,6,0,
18,92,172,3,7,0,
18,94,176,3,5,2,
18,83,160,5,0,0,
17,85,150,4,0,3,
21,121,120,8,6,0,
18,92,158,3,8,0,
18,91,162,2,2,0,
19,85,178,4,0,1,
19,82,183,3,2,5,
19,78,173,4,4,0,
17,86,149,4,3,2,
19,120,121,5,4,7,
18,113,136,4,3,0,
18,113,140,3,6,1,
18,109,145,4,6,0,
18,102,155,3,0,1,
18,99,157,2,2,0,
18,100,153,3,9,3,
18,96,152,2,0,6,
18,93,157,4,4,0,
18,100,165,2,8,0,
19,83,159,3,0,0,
19,84,151,4,0,1,
17,113,138,5,0,0,
18,98,156,2,0,0,
17,102,153,3,0,0,
19,80,182,2,0,0,
19,83,160,4,3,0,
18,107,140,5,0,2,
18,107,148,4,7,2,
19,104,150,3,3,0,
17,103,151,6,2,0,
18,103,149,7,7,4,
17,101,154,3,0,0,
18,96,152,4,0,4,
18,92,171,4,2,0,
19,84,154,4,4,0,
20,84,148,5,4,0,
19,88,148,5,9,0,
18,87,178,2,4,4,
19,81,188,3,0,0,
18,86,154,4,2,0,
18,112,132,5,14,3,
19,102,148,3,4,0,
18,88,168,2,10,0,
18,88,180,3,3,0,
20,82,184,3,0,1,
20,82,183,3,1,2,
18,88,151,6,0,1,
20,86,148,5,0,0,
18,97,157,3,2,1,
19,84,185,3,1,3,
20,82,183,3,1,0,
19,83,159,3,3,2,
19,89,146,4,0,0,
19,90,144,4,0,1,
18,91,146,4,0,1,
18,114,143,3,3,1,
18,99,155,3,2,0,
18,98,156,3,0,0,
17,100,155,3,7,1,
17,100,155,3,2,1,
17,84,167,3,2,0,
20,86,149,5,14,2,
19,90,142,4,2,0,
18,108,147,2,0,2,
18,93,159,2,4,0,
18,107,138,7,3,4,
18,108,147,2,2,1,
18,105,150,3,8,0,
18,103,154,2,6,0,
18,102,155,2,6,0,
17,82,167,2,0,1,
18,94,141,6,0,0,
21,115,122,7,14,1,
20,115,129,4,6,4,
19,113,140,3,6,4,
18,106,151,3,0,0,
17,97,166,3,5,1,
18,84,182,2,0,0,
19,89,184,3,0,0,
18,105,151,2,11,0,
16,92,158,4,0,4,
19,85,159,5,1,0,
17,105,138,7,0,5,
18,102,155,4,5,0,
18,92,161,4,4,0,
17,89,169,2,0,2,
18,92,177,2,3,0,
19,82,177,4,0,2,
18,87,156,5,10,1,
18,93,145,4,0,1,
17,102,137,5,1,4,
21,118,121,4,0,4,
19,107,148,2,0,2,
18,101,152,3,7,2,
16,95,155,3,3,1,
17,92,166,3,6,0,
18,86,172,3,4,0,
19,86,190,3,3,4,
17,94,147,3,6,0,
18,92,161,2,2,0,
18,91,174,2,0,0,
19,85,192,4,2,1,
18,79,168,2,1,2,
17,91,157,6,0,0,
17,84,151,5,8,0,
18,85,162,3,0,0,
19,82,165,4,0,0,
19,83,184,5,1,0,
19,93,146,4,0,3,
20,124,119,8,16,0,
18,102,150,3,11,1,
18,94,158,5,0,0,
18,85,185,4,2,1,
19,85,193,3,0,0,
18,103,149,5,6,0,
18,97,137,5,4,0,
19,112,146,5,9,0,
19,99,144,3,0,0,
19,108,151,2,9,0,
17,100,156,2,2,0,
18,92,160,2,4,0,
17,85,174,2,2,0,
20,81,174,4,7,0,
17,94,149,5,11,0,
20,117,124,4,0,2,
19,100,143,4,0,4,
17,99,157,3,0,0,
18,84,164,4,3,0,
19,87,187,3,2,1,
19,90,181,4,4,5,
20,110,125,4,0,1,
18,98,145,4,0,0,
18,97,158,3,11,0,
18,89,163,3,9,0,
19,97,152,12,2,0,
17,100,143,5,0,4,
20,109,126,4,5,2,
20,112,123,4,0,6,
19,118,134,4,2,1,
19,112,144,5,1,3,
17,99,157,4,3,2,
16,99,159,3,2,2,
18,92,166,4,6,2,
18,90,173,2,2,2,
18,88,180,4,0,0,
19,86,189,3,1,0,
19,85,191,1,0,0,
19,116,117,6,13,3,
