14,105,68,26,0,0,
12,105,56,16,0,0,
16,107,62,26,0,13,
12,139,64,31,6,6,
16,88,205,41,0,0,
18,86,68,29,4,0,
40,177,13,32,0,6,
18,128,48,42,0,11,
17,62,233,140,43,0,
14,90,96,51,41,6,
17,92,83,28,2,10,
14,89,77,25,0,0,
17,89,121,43,18,4,
14,132,60,18,0,7,
14,113,113,46,6,4,
10,93,41,30,6,13,
17,82,90,26,33,0,
12,86,65,14,16,1,
12,88,52,35,33,10,
12,149,60,22,8,0,
15,108,239,45,63,0,
11,124,70,17,13,3,
19,89,121,60,8,0,
18,64,116,67,14,0,
13,143,16,19,0,1,
13,117,63,24,12,3,
17,88,52,24,5,5,
13,105,61,20,0,5,
12,103,77,22,12,0,
13,124,68,18,6,0,
11,115,60,7,9,0,
17,62,116,95,6,0,
13,71,75,19,0,0,
18,88,52,29,0,0,
13,111,55,15,0,0,
14,128,40,46,4,10,
17,92,64,27,30,0,
13,92,103,15,0,0,
13,143,59,17,11,4,
14,113,133,42,0,0,
15,112,160,45,22,3,
14,114,235,74,91,0,
13,131,72,12,36,1,
16,78,69,36,28,1,
17,153,15,19,9,7,
13,140,60,21,12,7,
8,135,89,19,0,0,
15,85,60,16,2,0,
12,82,53,13,10,4,
12,83,68,13,9,0,
15,109,82,26,0,0,
13,143,59,18,2,4,
15,106,163,57,49,17,
14,120,214,59,0,9,
17,99,49,100,0,21,
13,110,44,78,0,1,
13,105,39,73,106,14,
12,80,54,13,8,4,
11,100,69,17,0,13,
18,54,61,29,54,8,
17,77,76,30,14,4,
11,95,78,20,36,0,
10,95,62,20,29,0,
13,116,64,22,0,2,
17,84,91,49,12,5,
13,81,79,33,36,6,
17,106,70,15,0,8,
15,103,87,33,67,8,
16,127,90,47,62,0,
11,109,63,10,24,0,
13,97,89,37,24,5,
16,103,57,104,2,17,
18,96,48,109,10,19,
14,112,73,19,10,0,
13,105,61,26,4,2,
12,114,65,15,6,5,
17,164,14,19,0,6,
16,80,48,30,6,8,
17,93,82,38,0,0,
17,83,104,43,0,0,
13,112,73,32,2,5,
12,113,99,30,59,14,
10,88,26,41,8,6,
12,60,93,64,41,0,
14,87,56,27,0,2,
13,118,69,11,9,2,
14,117,61,23,0,0,
13,139,46,34,10,0,
11,132,31,53,29,9,
18,161,19,42,2,1,
10,111,53,27,0,8,
16,125,45,34,2,26,
15,103,77,42,45,4,
14,100,135,16,0,0,
13,117,120,17,0,4,
13,143,68,13,3,5,
15,61,59,22,10,0,
21,121,21,21,2,2,
14,63,53,30,16,8,
17,71,130,40,21,0,
6,80,16,32,4,1,
19,83,89,25,0,2,
19,79,77,27,12,0,
13,117,72,57,18,0,
14,111,76,43,22,0,
11,115,60,11,1,0,
30,27,28,62,8,0,
25,85,18,59,0,1,
9,88,55,27,24,6,
8,78,52,27,22,4,
16,58,97,29,16,0,
14,98,78,42,0,0,
17,101,76,35,30,11,
17,89,86,23,12,0,
11,84,85,18,6,0,
11,103,67,28,16,7,
15,111,71,11,4,0,
12,106,87,39,11,1,
11,104,54,11,2,2,
17,106,70,47,26,0,
14,100,82,38,8,13,
14,123,77,49,21,9,
